POSTCODE,AREA,ASSESSMENT_CENTRE
BA,Bath,London
BB,Blackburn,London
BH,Bournemouth,London
BN,Brighton,London
BR,Bromley,London
BS,Bristol,London
BT,Northern Ireland,London
CB,Cambridge,London
CF,Cardiff,London
CH,Chester,London
CO,Colchester,London
CT,Canterbury,London
CV,Coventry,London
CW,Crewe,London
DA,Dartford,London
DT,Dorchester,London
DY,Dudley,London
EX,Exeter,London
GL,Gloucester,London
HR,Hereford,London
IP,Ipswich,London
LD,Llandrindod wells,London
LE,Leicester,London
LL,Llandundno,London
ME,Rochester,London
NN,Northampton,London
NP,Newport,London
NR,Norwich,London
OL,Oldham,London
OX,Oxford,London
PL,Plymouth,London
PO,Portsmouth,London
PR,Preston,London
RG,Reading,London
RH,Redhill,London
SA,Swansea,London
SK,Stockport,London
SL,Slough,London
SN,Swindon,London
SO,Southampton,London
SP,Salisbury,London
SS,Southend-on-sea,London
ST,Stoke-on-Trent,London
SY,Shrewsbury,London
TA,Taunton,London
TF,Telford,London
TN,Tonbridge,London
TQ,Torquay,London
TR,Truro,London
TW,Twickenham,London
UB,Southall,London
WN,Wigan,London
WR,Worcester,London
WS,Walsall,London
WV,Wolverhampton,London
CM,Chelmsford,London
CR,Croydon,London
EC,East Central london,London
E,East London,London
EN,Enfield,London
IG,Ilford,London
N,North London,London
NW,Northwest London,London
RM,Romford,London
SE,South East london,London
SW,South west london,London
W,West London,London
WC,Western Central London,London
MK,Milton Keynes,London
LU,Bedfordshire,London
AB,Aberdeen,Newcastle
B,Birmingham,Newcastle
FY,Blackpool,Newcastle
BL,Bolton,Newcastle
BD,Bradford,Newcastle
CA,Carlisle,Newcastle
TS,Cleveland,Newcastle
DL,Darlington,Newcastle
DE,Derby,Newcastle
DN,Doncaster,Newcastle
DG,Dumfries,Newcastle
DD,Dundee,Newcastle
DH,Durham,Newcastle
EH,Edinburgh,Newcastle
FK,Falkirk,Newcastle
TD,Galashiels,Newcastle
G,Glasgow,Newcastle
GU,Guilford,Newcastle
HX,Halifax,Newcastle
HG,Harrogate,Newcastle
HA,Harrow,Newcastle
HP,Hemel Hempstead,Newcastle
HD,Huddersfield,Newcastle
HU,Hull,Newcastle
IV,Inverness,Newcastle
KA,Kilmanock,Newcastle
KT,Kingston-u-Thames,Newcastle
KY,kirkcaldy,Newcastle
KW,Kirkwall,Newcastle
LA,Lancaster,Newcastle
LS,Leeds,Newcastle
ZE,Lerwick,Newcastle
LN,Lincoln,Newcastle
L,Liverpool,Newcastle
M,Manchester,Newcastle
ML,Motherwell,Newcastle
NE,Newcastle upon Tyne,Newcastle
NG,Nottingham,Newcastle
HS,Outer Hebrides,Newcastle
PA,Paisley,Newcastle
PH,Perth,Newcastle
PE,Peterborough,Newcastle
S,Sheffield,Newcastle
AL,St Albans,Newcastle
SG,Stevenage,Newcastle
SR,Sunderland,Newcastle
SM,Sutton,Newcastle
WF,Wakefield,Newcastle
WA,Warrington,Newcastle
WD,Watford,Newcastle
YO,York,Newcastle
